,6020001,Gaming Streaming Social Media Platform,تشغيل منصات تدفق الألعاụ عبر وسائل التواصل الاجتماعي,"Includes live streaming digital platforms through which gaming videos and E-sports competitions are streamed, and offering a gaming social media platform in which the gaming community can interact.","يشمل المنصات الرقمية للبث المباشر التي يتم من خلالها بث مقاطع فيديو الألعاụ أو
مسابقات الرياضات الإلكترونية أو تقديم منصة وسائط اجتماعية للألعاụ يمكن لمجتمع
الألعاụ التفاعل من خلالها.",,,,,
,,,,Includes firms offering gaming,"يشمل المنشآت التي تقدم الحلول المتعلقة بإدارة مجموعات الألعاụ للجهات التي تتعامل مع تلك الألعاụ، بما في ذلك مراقبة ملتقيات
الوسائط الاجتماعية والألعاụ، الموافقة على المحتوى، إنشاء محتوى الوسائط الاجتماعية، إعداد تقارير أداء المجموعات ووسائل التواصل
الاجتم",,,,,
,,,,community management solutions,,,,,,
,,,,for the gaming industry including,,,,,,
,8299025,"Gaming Community
Management",خدمات إدارة مجموعة الألعاụ,"social media and games forum
monitoring, moderation and content",,,,,,
,,,,"approval, social media and forum",,,,,,
,,,,content creation and community and,,,,,,
,,,,social media performance re,,,,,,
,,,,Includes firms engaged in,"يشمل المنشآت التي تقوم بتطوير الألعاụ المجانية والمدفوعة المختلفة التي تستخدم
شبكات الحاسوụ والإنترنت وأجهزة الألعاụ الإلكترونية، وذلك عبر تحميلها من متاجر
التطبيقات الإلكترونية المختلفة أو عن طريق الأقراص المدمجة، على ألا تشمل تلك
التطبيقات أي نوع من الت",,,,,
,,,,developing and offering support,,,,,,
,,,,services to enable free or paid online,,,,,,
,6190002,Online Gaming Services,خدمات الألعاụ عبر الانترنت,"gaming played through the internet,
computer network or E-gaming",,,,,,
,,,,"devices, downloadable from app",,,,,,
,,,,"stores, or through CD's, these firms",,,,,,
,,,,are not allowed to opera,,,,,,
,,,,Includes platforms offering a,,,,,,
,6312001,Gaming Engine Operation,تشغيل محركات الألعاụ,"software-development system solution, which enables the construction of video and mobile games for all platforms.","يشمل المنصات التي تقدم حلولا تتعلق بتطوير البرامج التي تتيح إنشاء ألعاụ الفيديو
وألعاụ الهواتف المحمولة لجميع المنصات",,,,,
,,,,,,,,,,
,Activity Code,Activity Name (English),Activity Name (Arabic),Description,Description (Arabic),Industry Group,ISIC Activity,,,
,,,,Entities practicing delivery services,"خدمات تنظيم المنشآت التي تقوم بتنظيم الخدمات وتوصليها ومنها ايضا توصيل الطلبات
الى المكاتب، المصانع، المطارات والطائرات وغيرها من أماكن العمل، والتي قد تشمل
المواد الغذائية والمواد الاستهلاكية من الجمعيات التعاونية أو محلات السوبر ماركت
او أي مواد أصناف م",,,,,
,,,,"to homes, offices, factories, airports,",,,,,,
,5320-011,Delivery Services Coordination & Provision,خدمات تنظيم وتوصيل الطلبات,"airplanes, and other workplaces, which may include consumables from cooperative societies,
supermarkets or any other items",,Transportation and storage,,,,
,,,,from other places. The service can,,,,,,
,,,,be through fully or,,,,,,
,,,,Includes firms that provide services,,,,,,
,7310-024,E-sports Event Management,إدارة فعاليات الرياضات الإلكترونية,"to produce, promote, organize,
manage, support and facilitate E-sports events, competitions and
tournaments, including conferences, exhibitions, activations, conventions,","يشمل المنشآت التي تقدم الخدمات التي تتعلق بإنتاج وترويج وتنظيم وإدارة ودعم وتسهيل فعاليات أو مسابقات أو بطولات
الألعاụ الإلكترونية، بما في ذلك المؤتمرات والمعارض التجارية",,,,,
,,,,business and trade shows,,,,,,
,7310-025,E-sports Tournament Support Platform,منصة دعم المنافسات الرياضات الالكترونية,"Includes online platforms which facilitate and support organizers of
E-sports tournaments and offer turn- key solutions for testing, scaling, and operating E-sports competitions","يشمل المنصات على الإنترنت التي تقدم التسهيلات والدعم لمنظمي بطولات الرياضات
الإلكترونية وتقدم حلوًلا جاهزة لاختبار مسابقات الرياضات الإلكترونية وتوسيع نطاقها
وتشغيلها","Professional, scientific and technical activities",,,,
,7310-026,E-sports League Operator,تشغيل دوري الرياضات الالكترونية,Includes firms that own or operate recognized E-sports League,يشمل المنشآت التي تمتلك أو تدير دورًيا للرياضات الإلكترونية معترًفا به,,,,,
,8890001,Nursery,دار حضانة,Includes firms specialized in receiving and caring for children while their parents are absent.,هي المنشأة المتخصصة في إستقبال الأطفال والإعتناء بهم أثناء فترة غياụ ذويهم,,,,,
,,,,Includes servicing non-commercial,,,,,,
,,,,"aircrafts, such as, private aircrafts",,,,,,
,522301,Ground Services for Non-commercial Aircrafts,خدمات المناولة الارضية للطائرات غير التجارية,"and aircrafts for charter, while it is on the ground and parked at a terminal gate of an airport, involving handling",,Transportation and storage,,,,
,,,,the many service between arrival,,,,,,
,,,,and departure such as cabin servi,,,,,,
,4773-201,Jewellery Trading,تجارة المجوهرات والمصوغات من الذهب والفضة,"Includes reselling adornment jewellery such as brooches, earnings, necklaces, bracelets, rings, which are made of gold, platinum, palladium, titanium, silver and gemstones.","يشمل إعادة بيع الحلي والمصوغات المستخدمة لأغراض الزينة مثل البروش،
الأقراط، القلائد، الأسورة، الأقراط، الخواتم والتي تتم صناعتها من المعادن الثمينة مثل الذهب، البلاتين، البلاديوم، التيتانيوم والفضة والمحلاة
بالأحجار الكريمة",,TRUE,,,
,,,,"Includes reselling of natural, cultured and artificial pre-formed pearl,","هي إعادة بيع أنواع اللؤلؤ الطبيعي أو المزروع والصناعي في حالته الأصلية قبل التشكيل
والصياغة، وكذلك أنواع الجواهر والأحجار الكريمة كالماس والياقوت والزمرد والمرجان وغيرها وذلك في حالتها الأصلية قبل التقطيع
والصقل، أو قبل استخدامها في صياغة أنواع المجوهرات",Household goods Trading,,,,
,,,,"as well as diamond, corundum,",,,,,,
,4773-202,"Pearls & Precious
Stones Trading",تجارة اللؤلؤ والأحجار الكريمة,"sapphire, ruby, emerald, opal, coral,
turquoise which are in the original",,,,,,
,,,,state before cutting and polishing or,,,,,,
,,,,before utilizing in the formation of,,,,,,
,,,,types of jewelry,,,,,,
